Bookmark,Frame#,ACP SEID,Error Code,Addr.,INT SEID,Packet,Role,Signal ID,Transaction,Frame Size,Delta,Timestamp,
,40684,,,1,,Single Packet,Master,START,10,18,=" 00:00:00.005623",="6/25/2014 11:20:20.209601 AM",
,41015,1,,1,,Single Packet,Slave,SUSPEND,11,19,=" 00:00:06.606903",="6/25/2014 11:20:26.816504 AM",
,41016,,,1,,Single Packet,Master,SUSPEND,11,18,=" 00:00:00.009374",="6/25/2014 11:20:26.825878 AM",
,41084,1,,1,,Single Packet,Slave,START,12,19,=" 00:00:04.961896",="6/25/2014 11:20:31.787774 AM",
,41085,,,1,,Single Packet,Master,START,12,18,=" 00:00:00.005623",="6/25/2014 11:20:31.793397 AM",
,41459,1,,1,,Single Packet,Slave,SUSPEND,13,19,=" 00:00:06.504403",="6/25/2014 11:20:38.297800 AM",
,41460,,,1,,Single Packet,Master,SUSPEND,13,18,=" 00:00:00.011874",="6/25/2014 11:20:38.309674 AM",
,41528,1,,1,,Single Packet,Slave,START,14,19,=" 00:00:21.358211",="6/25/2014 11:20:59.667885 AM",
,41529,,,1,,Single Packet,Master,START,14,18,=" 00:00:00.008124",="6/25/2014 11:20:59.676009 AM",
,41530,1,,1,,Single Packet,Slave,SUSPEND,15,19,=" 00:00:00.006877",="6/25/2014 11:20:59.682886 AM",
,41531,,,1,,Single Packet,Master,SUSPEND,15,18,=" 00:00:00.010623",="6/25/2014 11:20:59.693509 AM",
,41532,1,,1,,Single Packet,Slave,START,0,19,=" 00:00:00.021877",="6/25/2014 11:20:59.715386 AM",
,41533,,,1,,Single Packet,Master,START,0,18,=" 00:00:00.005623",="6/25/2014 11:20:59.721009 AM",
,45526,1,,1,,Single Packet,Slave,SUSPEND,1,19,=" 00:01:18.254695",="6/25/2014 11:22:17.975704 AM",
,45527,,,1,,Single Packet,Master,SUSPEND,1,18,=" 00:00:00.005623",="6/25/2014 11:22:17.981327 AM",
,45532,1,,1,,Single Packet,Slave,START,2,19,=" 00:00:00.258128",="6/25/2014 11:22:18.239455 AM",
,45533,,,1,,Single Packet,Master,START,2,18,=" 00:00:00.005623",="6/25/2014 11:22:18.245078 AM",
,46976,1,,1,,Single Packet,Master,CLOSE,0,19,=" 00:00:27.941364",="6/25/2014 11:22:46.186442 AM",
,46977,,,1,,Single Packet,Slave,CLOSE,0,18,=" 00:00:00.001877",="6/25/2014 11:22:46.188319 AM",
