Bookmark,Frame#,Type,Opcode,Opcode Command,Event,Name,LMP Version,Manufacturer Name,HCI Version,LMP Subversion,Status,Handle,Credits,PBF,Length,Frame Size,Delta,Timestamp,
,1236,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.000931",="6/19/2014 2:59:25.097198 PM",
,1237,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001254",="6/19/2014 2:59:25.098452 PM",
,1238,ACL Data,,,,,,,,,,0x000d,,Cont.,1,6,=" 00:00:00.001209",="6/19/2014 2:59:25.099661 PM",
,1239,ACL Data,,,,,,,,,,0x000d,Available Host's ACL credits: 7,First,26,31,=" 00:00:00.000666",="6/19/2014 2:59:25.100327 PM",
,1240,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.000611",="6/19/2014 2:59:25.100938 PM",
,1241,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.001282",="6/19/2014 2:59:25.102220 PM",
,1242,ACL Data,,,,,,,,,,0x000d,,First,17,22,=" 00:00:00.005142",="6/19/2014 2:59:25.107362 PM",
,1243,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001616",="6/19/2014 2:59:25.108978 PM",
,1244,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.000714",="6/19/2014 2:59:25.109692 PM",
,1245,ACL Data,,,,,,,,,,0x000d,,Cont.,1,6,=" 00:00:00.001224",="6/19/2014 2:59:25.110916 PM",
,1246,ACL Data,,,,,,,,,,0x000d,Available Host's ACL credits: 6,First,26,31,=" 00:00:00.000749",="6/19/2014 2:59:25.111665 PM",
,1247,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.000563",="6/19/2014 2:59:25.112228 PM",
,1248,Event,,,Number Of Completed Packets,,,,,,,0x000d,Available Host's ACL credits: 7,,5,8,=" 00:00:00.219432",="6/19/2014 2:59:25.331660 PM",
,1249,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.025093",="6/19/2014 2:59:25.356753 PM",
,1250,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.011182",="6/19/2014 2:59:25.367935 PM",
,1251,ACL Data,,,,,,,,,,0x000d,,First,17,22,=" 00:00:00.004161",="6/19/2014 2:59:25.372096 PM",
,1252,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.003460",="6/19/2014 2:59:25.375556 PM",
,1253,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.003491",="6/19/2014 2:59:25.379047 PM",
,1254,ACL Data,,,,,,,,,,0x000d,,Cont.,1,6,=" 00:00:00.004420",="6/19/2014 2:59:25.383467 PM",
,1255,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.002987",="6/19/2014 2:59:25.386454 PM",
,1256,ACL Data,,,,,,,,,,0x000d,Available Host's ACL credits: 6,First,26,31,=" 00:00:00.003276",="6/19/2014 2:59:25.389730 PM",
,1257,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.007503",="6/19/2014 2:59:25.397233 PM",
,1258,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.002991",="6/19/2014 2:59:25.400224 PM",
,1259,Event,,,Number Of Completed Packets,,,,,,,0x000d,Available Host's ACL credits: 8,,5,8,=" 00:00:00.000954",="6/19/2014 2:59:25.401178 PM",
,1260,ACL Data,,,,,,,,,,0x000d,,First,17,22,=" 00:00:00.010057",="6/19/2014 2:59:25.411235 PM",
,1261,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001162",="6/19/2014 2:59:25.412397 PM",
,1262,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001304",="6/19/2014 2:59:25.413701 PM",
,1263,ACL Data,,,,,,,,,,0x000d,,Cont.,1,6,=" 00:00:00.001662",="6/19/2014 2:59:25.415363 PM",
,1264,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.000968",="6/19/2014 2:59:25.416331 PM",
,1265,ACL Data,,,,,,,,,,0x000d,Available Host's ACL credits: 7,First,26,31,=" 00:00:00.001120",="6/19/2014 2:59:25.417451 PM",
,1266,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.000957",="6/19/2014 2:59:25.418408 PM",
,1267,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.015898",="6/19/2014 2:59:25.434306 PM",
,1268,ACL Data,,,,,,,,,,0x000d,,First,17,22,=" 00:00:00.011318",="6/19/2014 2:59:25.445624 PM",
,1269,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001681",="6/19/2014 2:59:25.447305 PM",
,1270,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001780",="6/19/2014 2:59:25.449085 PM",
,1271,ACL Data,,,,,,,,,,0x000d,,Cont.,1,6,=" 00:00:00.001726",="6/19/2014 2:59:25.450811 PM",
,1272,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.002053",="6/19/2014 2:59:25.452864 PM",
,1273,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.002093",="6/19/2014 2:59:25.454957 PM",
,1274,ACL Data,,,,,,,,,,0x000d,Available Host's ACL credits: 6,First,26,31,=" 00:00:00.001957",="6/19/2014 2:59:25.456914 PM",
,1275,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.011143",="6/19/2014 2:59:25.468057 PM",
,1276,Event,,,Number Of Completed Packets,,,,,,,0x000d,Available Host's ACL credits: 8,,5,8,=" 00:00:00.001268",="6/19/2014 2:59:25.469325 PM",
,1277,ACL Data,,,,,,,,,,0x000d,,First,17,22,=" 00:00:00.009788",="6/19/2014 2:59:25.479113 PM",
,1278,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001553",="6/19/2014 2:59:25.480666 PM",
,1279,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001686",="6/19/2014 2:59:25.482352 PM",
,1280,ACL Data,,,,,,,,,,0x000d,,Cont.,1,6,=" 00:00:00.001456",="6/19/2014 2:59:25.483808 PM",
,1281,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.001828",="6/19/2014 2:59:25.485636 PM",
,1282,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.001357",="6/19/2014 2:59:25.486993 PM",
,1283,ACL Data,,,,,,,,,,0x000d,Available Host's ACL credits: 7,First,26,31,=" 00:00:00.001604",="6/19/2014 2:59:25.488597 PM",
,1284,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.013208",="6/19/2014 2:59:25.501805 PM",
,1285,ACL Data,,,,,,,,,,0x000d,,First,17,22,=" 00:00:00.010989",="6/19/2014 2:59:25.512794 PM",
,1286,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001772",="6/19/2014 2:59:25.514566 PM",
,1287,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001477",="6/19/2014 2:59:25.516043 PM",
,1288,ACL Data,,,,,,,,,,0x000d,,Cont.,1,6,=" 00:00:00.001451",="6/19/2014 2:59:25.517494 PM",
,1289,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.001591",="6/19/2014 2:59:25.519085 PM",
,1290,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.001394",="6/19/2014 2:59:25.520479 PM",
,1291,ACL Data,,,,,,,,,,0x000d,Available Host's ACL credits: 6,First,26,31,=" 00:00:00.001859",="6/19/2014 2:59:25.522338 PM",
,1292,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.013234",="6/19/2014 2:59:25.535572 PM",
,1293,Event,,,Number Of Completed Packets,,,,,,,0x000d,Available Host's ACL credits: 8,,5,8,=" 00:00:00.001582",="6/19/2014 2:59:25.537154 PM",
,1294,ACL Data,,,,,,,,,,0x000d,,First,17,22,=" 00:00:00.009649",="6/19/2014 2:59:25.546803 PM",
,1295,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001882",="6/19/2014 2:59:25.548685 PM",
,1296,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001725",="6/19/2014 2:59:25.550410 PM",
,1297,ACL Data,,,,,,,,,,0x000d,,Cont.,1,6,=" 00:00:00.001691",="6/19/2014 2:59:25.552101 PM",
,1298,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.001618",="6/19/2014 2:59:25.553719 PM",
,1299,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.002186",="6/19/2014 2:59:25.555905 PM",
,1300,ACL Data,,,,,,,,,,0x000d,Available Host's ACL credits: 7,First,26,31,=" 00:00:00.002030",="6/19/2014 2:59:25.557935 PM",
,1301,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.011540",="6/19/2014 2:59:25.569475 PM",
,1302,ACL Data,,,,,,,,,,0x000d,,First,17,22,=" 00:00:00.011607",="6/19/2014 2:59:25.581082 PM",
,1303,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.002107",="6/19/2014 2:59:25.583189 PM",
,1304,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001786",="6/19/2014 2:59:25.584975 PM",
,1305,ACL Data,,,,,,,,,,0x000d,,Cont.,1,6,=" 00:00:00.001837",="6/19/2014 2:59:25.586812 PM",
,1306,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.002099",="6/19/2014 2:59:25.588911 PM",
,1307,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.002768",="6/19/2014 2:59:25.591679 PM",
,1308,ACL Data,,,,,,,,,,0x000d,Available Host's ACL credits: 6,First,26,31,=" 00:00:00.002442",="6/19/2014 2:59:25.594121 PM",
,1309,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.009076",="6/19/2014 2:59:25.603197 PM",
,1310,Event,,,Number Of Completed Packets,,,,,,,0x000d,Available Host's ACL credits: 8,,5,8,=" 00:00:00.002255",="6/19/2014 2:59:25.605452 PM",
,1311,ACL Data,,,,,,,,,,0x000d,,First,17,22,=" 00:00:00.008980",="6/19/2014 2:59:25.614432 PM",
,1312,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001924",="6/19/2014 2:59:25.616356 PM",
,1313,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001940",="6/19/2014 2:59:25.618296 PM",
,1314,ACL Data,,,,,,,,,,0x000d,,Cont.,1,6,=" 00:00:00.001991",="6/19/2014 2:59:25.620287 PM",
,1315,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.002108",="6/19/2014 2:59:25.622395 PM",
,1316,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.002389",="6/19/2014 2:59:25.624784 PM",
,1317,ACL Data,,,,,,,,,,0x000d,Available Host's ACL credits: 7,First,26,31,=" 00:00:00.002230",="6/19/2014 2:59:25.627014 PM",
,1318,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.009395",="6/19/2014 2:59:25.636409 PM",
,1319,ACL Data,,,,,,,,,,0x000d,,First,17,22,=" 00:00:00.011159",="6/19/2014 2:59:25.647568 PM",
,1320,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001184",="6/19/2014 2:59:25.648752 PM",
,1321,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001248",="6/19/2014 2:59:25.650000 PM",
,1322,ACL Data,,,,,,,,,,0x000d,,Cont.,1,6,=" 00:00:00.001201",="6/19/2014 2:59:25.651201 PM",
,1323,ACL Data,,,,,,,,,,0x000d,Available Host's ACL credits: 6,First,26,31,=" 00:00:00.001362",="6/19/2014 2:59:25.652563 PM",
,1324,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.001039",="6/19/2014 2:59:25.653602 PM",
