Bookmark,Frame#,Type,Opcode,Opcode Command,Event,Name,LMP Version,Manufacturer Name,HCI Version,LMP Subversion,Status,Handle,Credits,PBF,Length,Frame Size,Delta,Timestamp,
,1,Command,0x0c03,Reset,,,,,,,,,,,0,4,="",="6/19/2014 2:58:48.300308 PM",
,2,Event,0x0c03,Reset,Command Complete,,,,,,Success,,,,4,7,=" 00:00:00.020593",="6/19/2014 2:58:48.320901 PM",
,3,Command,0xfc45,,,,,,,,,,,,,5,=" 00:00:00.004186",="6/19/2014 2:58:48.325087 PM",
,4,Event,0xfc45,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.009116",="6/19/2014 2:58:48.334203 PM",
,5,Command,0xfc18,,,,,,,,,,,,,10,=" 00:00:00.003856",="6/19/2014 2:58:48.338059 PM",
,6,Event,0xfc18,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.005453",="6/19/2014 2:58:48.343512 PM",
,7,Command,0x0c14,Read_Local_Name,,,,,,,,,,,0,4,=" 00:00:00.005411",="6/19/2014 2:58:48.348923 PM",
,8,Event,0x0c14,Read_Local_Name,Command Complete,BCM4350C0 ,,,,,Success,,,,252,255,=" 00:00:00.021459",="6/19/2014 2:58:48.370382 PM",
,9,Command,0xfc2e,,,,,,,,,,,,,4,=" 00:00:00.004577",="6/19/2014 2:58:48.374959 PM",
,10,Event,0xfc2e,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.003921",="6/19/2014 2:58:48.378880 PM",
,11,Command,0xfc4c,,,,,,,,,,,,,143,=" 00:00:00.054323",="6/19/2014 2:58:48.433203 PM",
,12,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.004006",="6/19/2014 2:58:48.437209 PM",
,13,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.003674",="6/19/2014 2:58:48.440883 PM",
,14,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.004162",="6/19/2014 2:58:48.445045 PM",
,15,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.003816",="6/19/2014 2:58:48.448861 PM",
,16,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.004063",="6/19/2014 2:58:48.452924 PM",
,17,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.003734",="6/19/2014 2:58:48.456658 PM",
,18,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.003776",="6/19/2014 2:58:48.460434 PM",
,19,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.002780",="6/19/2014 2:58:48.463214 PM",
,20,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001019",="6/19/2014 2:58:48.464233 PM",
,21,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.001050",="6/19/2014 2:58:48.465283 PM",
,22,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000995",="6/19/2014 2:58:48.466278 PM",
,23,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.001049",="6/19/2014 2:58:48.467327 PM",
,24,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001010",="6/19/2014 2:58:48.468337 PM",
,25,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.001050",="6/19/2014 2:58:48.469387 PM",
,26,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001034",="6/19/2014 2:58:48.470421 PM",
,27,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.001082",="6/19/2014 2:58:48.471503 PM",
,28,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001081",="6/19/2014 2:58:48.472584 PM",
,29,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.001049",="6/19/2014 2:58:48.473633 PM",
,30,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001031",="6/19/2014 2:58:48.474664 PM",
,31,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.001052",="6/19/2014 2:58:48.475716 PM",
,32,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001066",="6/19/2014 2:58:48.476782 PM",
,33,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.001049",="6/19/2014 2:58:48.477831 PM",
,34,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001018",="6/19/2014 2:58:48.478849 PM",
,35,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.001053",="6/19/2014 2:58:48.479902 PM",
,36,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001011",="6/19/2014 2:58:48.480913 PM",
,37,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.001101",="6/19/2014 2:58:48.482014 PM",
,38,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001240",="6/19/2014 2:58:48.483254 PM",
,39,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.001052",="6/19/2014 2:58:48.484306 PM",
,40,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001013",="6/19/2014 2:58:48.485319 PM",
,41,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.001021",="6/19/2014 2:58:48.486340 PM",
,42,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001025",="6/19/2014 2:58:48.487365 PM",
,43,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.001049",="6/19/2014 2:58:48.488414 PM",
,44,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001012",="6/19/2014 2:58:48.489426 PM",
,45,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.001048",="6/19/2014 2:58:48.490474 PM",
,46,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001037",="6/19/2014 2:58:48.491511 PM",
,47,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000925",="6/19/2014 2:58:48.492436 PM",
,48,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001057",="6/19/2014 2:58:48.493493 PM",
,49,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.001043",="6/19/2014 2:58:48.494536 PM",
,50,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001004",="6/19/2014 2:58:48.495540 PM",
,51,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.001013",="6/19/2014 2:58:48.496553 PM",
,52,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001020",="6/19/2014 2:58:48.497573 PM",
,53,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.001075",="6/19/2014 2:58:48.498648 PM",
,54,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001017",="6/19/2014 2:58:48.499665 PM",
,55,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.001051",="6/19/2014 2:58:48.500716 PM",
,56,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.002061",="6/19/2014 2:58:48.502777 PM",
,57,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000720",="6/19/2014 2:58:48.503497 PM",
,58,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000928",="6/19/2014 2:58:48.504425 PM",
,59,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000634",="6/19/2014 2:58:48.505059 PM",
,60,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001004",="6/19/2014 2:58:48.506063 PM",
,61,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000734",="6/19/2014 2:58:48.506797 PM",
,62,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000965",="6/19/2014 2:58:48.507762 PM",
,63,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000692",="6/19/2014 2:58:48.508454 PM",
,64,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.002726",="6/19/2014 2:58:48.511180 PM",
,65,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000695",="6/19/2014 2:58:48.511875 PM",
,66,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000989",="6/19/2014 2:58:48.512864 PM",
,67,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000645",="6/19/2014 2:58:48.513509 PM",
,68,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000969",="6/19/2014 2:58:48.514478 PM",
,69,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000653",="6/19/2014 2:58:48.515131 PM",
,70,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000981",="6/19/2014 2:58:48.516112 PM",
,71,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000634",="6/19/2014 2:58:48.516746 PM",
,72,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000975",="6/19/2014 2:58:48.517721 PM",
,73,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000634",="6/19/2014 2:58:48.518355 PM",
,74,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000977",="6/19/2014 2:58:48.519332 PM",
,75,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000921",="6/19/2014 2:58:48.520253 PM",
,76,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000904",="6/19/2014 2:58:48.521157 PM",
,77,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000718",="6/19/2014 2:58:48.521875 PM",
,78,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000870",="6/19/2014 2:58:48.522745 PM",
,79,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000621",="6/19/2014 2:58:48.523366 PM",
,80,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000875",="6/19/2014 2:58:48.524241 PM",
,81,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000686",="6/19/2014 2:58:48.524927 PM",
,82,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000862",="6/19/2014 2:58:48.525789 PM",
,83,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000653",="6/19/2014 2:58:48.526442 PM",
,84,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000864",="6/19/2014 2:58:48.527306 PM",
,85,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000683",="6/19/2014 2:58:48.527989 PM",
,86,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000861",="6/19/2014 2:58:48.528850 PM",
,87,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000684",="6/19/2014 2:58:48.529534 PM",
,88,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000861",="6/19/2014 2:58:48.530395 PM",
,89,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000683",="6/19/2014 2:58:48.531078 PM",
,90,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000893",="6/19/2014 2:58:48.531971 PM",
,91,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000682",="6/19/2014 2:58:48.532653 PM",
,92,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000863",="6/19/2014 2:58:48.533516 PM",
,93,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000685",="6/19/2014 2:58:48.534201 PM",
,94,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000856",="6/19/2014 2:58:48.535057 PM",
,95,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000684",="6/19/2014 2:58:48.535741 PM",
,96,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000863",="6/19/2014 2:58:48.536604 PM",
,97,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000684",="6/19/2014 2:58:48.537288 PM",
,98,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000855",="6/19/2014 2:58:48.538143 PM",
,99,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000688",="6/19/2014 2:58:48.538831 PM",
,100,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000862",="6/19/2014 2:58:48.539693 PM",
,101,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000684",="6/19/2014 2:58:48.540377 PM",
,102,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000857",="6/19/2014 2:58:48.541234 PM",
,103,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000709",="6/19/2014 2:58:48.541943 PM",
,104,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000864",="6/19/2014 2:58:48.542807 PM",
,105,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000685",="6/19/2014 2:58:48.543492 PM",
,106,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000855",="6/19/2014 2:58:48.544347 PM",
,107,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000682",="6/19/2014 2:58:48.545029 PM",
,108,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000848",="6/19/2014 2:58:48.545877 PM",
,109,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000668",="6/19/2014 2:58:48.546545 PM",
,110,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000864",="6/19/2014 2:58:48.547409 PM",
,111,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000683",="6/19/2014 2:58:48.548092 PM",
,112,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000863",="6/19/2014 2:58:48.548955 PM",
,113,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000684",="6/19/2014 2:58:48.549639 PM",
,114,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000855",="6/19/2014 2:58:48.550494 PM",
,115,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000683",="6/19/2014 2:58:48.551177 PM",
,116,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001101",="6/19/2014 2:58:48.552278 PM",
,117,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000683",="6/19/2014 2:58:48.552961 PM",
,118,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000856",="6/19/2014 2:58:48.553817 PM",
,119,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000685",="6/19/2014 2:58:48.554502 PM",
,120,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000871",="6/19/2014 2:58:48.555373 PM",
,121,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000655",="6/19/2014 2:58:48.556028 PM",
,122,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000889",="6/19/2014 2:58:48.556917 PM",
,123,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000683",="6/19/2014 2:58:48.557600 PM",
,124,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000860",="6/19/2014 2:58:48.558460 PM",
,125,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000684",="6/19/2014 2:58:48.559144 PM",
,126,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000858",="6/19/2014 2:58:48.560002 PM",
,127,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000683",="6/19/2014 2:58:48.560685 PM",
,128,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000878",="6/19/2014 2:58:48.561563 PM",
,129,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000678",="6/19/2014 2:58:48.562241 PM",
,130,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000872",="6/19/2014 2:58:48.563113 PM",
,131,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000683",="6/19/2014 2:58:48.563796 PM",
,132,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000862",="6/19/2014 2:58:48.564658 PM",
,133,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000684",="6/19/2014 2:58:48.565342 PM",
,134,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000917",="6/19/2014 2:58:48.566259 PM",
,135,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000684",="6/19/2014 2:58:48.566943 PM",
,136,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000859",="6/19/2014 2:58:48.567802 PM",
,137,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000685",="6/19/2014 2:58:48.568487 PM",
,138,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000854",="6/19/2014 2:58:48.569341 PM",
,139,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000683",="6/19/2014 2:58:48.570024 PM",
,140,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000863",="6/19/2014 2:58:48.570887 PM",
,141,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000710",="6/19/2014 2:58:48.571597 PM",
,142,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000834",="6/19/2014 2:58:48.572431 PM",
,143,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000684",="6/19/2014 2:58:48.573115 PM",
,144,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000857",="6/19/2014 2:58:48.573972 PM",
,145,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000683",="6/19/2014 2:58:48.574655 PM",
,146,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000855",="6/19/2014 2:58:48.575510 PM",
,147,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000660",="6/19/2014 2:58:48.576170 PM",
,148,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000883",="6/19/2014 2:58:48.577053 PM",
,149,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000684",="6/19/2014 2:58:48.577737 PM",
,150,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000855",="6/19/2014 2:58:48.578592 PM",
,151,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000688",="6/19/2014 2:58:48.579280 PM",
,152,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000854",="6/19/2014 2:58:48.580134 PM",
,153,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000683",="6/19/2014 2:58:48.580817 PM",
,154,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001384",="6/19/2014 2:58:48.582201 PM",
,155,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000706",="6/19/2014 2:58:48.582907 PM",
,156,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000892",="6/19/2014 2:58:48.583799 PM",
,157,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000706",="6/19/2014 2:58:48.584505 PM",
,158,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000892",="6/19/2014 2:58:48.585397 PM",
,159,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000675",="6/19/2014 2:58:48.586072 PM",
,160,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000923",="6/19/2014 2:58:48.586995 PM",
,161,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000707",="6/19/2014 2:58:48.587702 PM",
,162,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000888",="6/19/2014 2:58:48.588590 PM",
,163,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000788",="6/19/2014 2:58:48.589378 PM",
,164,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000889",="6/19/2014 2:58:48.590267 PM",
,165,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000710",="6/19/2014 2:58:48.590977 PM",
,166,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001095",="6/19/2014 2:58:48.592072 PM",
,167,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000703",="6/19/2014 2:58:48.592775 PM",
,168,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000893",="6/19/2014 2:58:48.593668 PM",
,169,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000694",="6/19/2014 2:58:48.594362 PM",
,170,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000914",="6/19/2014 2:58:48.595276 PM",
,171,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000679",="6/19/2014 2:58:48.595955 PM",
,172,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000921",="6/19/2014 2:58:48.596876 PM",
,173,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000706",="6/19/2014 2:58:48.597582 PM",
,174,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000888",="6/19/2014 2:58:48.598470 PM",
,175,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000706",="6/19/2014 2:58:48.599176 PM",
,176,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000891",="6/19/2014 2:58:48.600067 PM",
,177,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000708",="6/19/2014 2:58:48.600775 PM",
,178,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000848",="6/19/2014 2:58:48.601623 PM",
,179,Command,0xfc4c,,,,,,,,,,,,,207,=" 00:00:00.000608",="6/19/2014 2:58:48.602231 PM",
,180,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000890",="6/19/2014 2:58:48.603121 PM",
,181,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000605",="6/19/2014 2:58:48.603726 PM",
,182,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000963",="6/19/2014 2:58:48.604689 PM",
,183,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000704",="6/19/2014 2:58:48.605393 PM",
,184,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000955",="6/19/2014 2:58:48.606348 PM",
,185,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000705",="6/19/2014 2:58:48.607053 PM",
,186,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000912",="6/19/2014 2:58:48.607965 PM",
,187,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000703",="6/19/2014 2:58:48.608668 PM",
,188,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000909",="6/19/2014 2:58:48.609577 PM",
,189,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000705",="6/19/2014 2:58:48.610282 PM",
,190,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.002168",="6/19/2014 2:58:48.612450 PM",
,191,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000635",="6/19/2014 2:58:48.613085 PM",
,192,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001095",="6/19/2014 2:58:48.614180 PM",
,193,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000607",="6/19/2014 2:58:48.614787 PM",
,194,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001120",="6/19/2014 2:58:48.615907 PM",
,195,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000617",="6/19/2014 2:58:48.616524 PM",
,196,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000890",="6/19/2014 2:58:48.617414 PM",
,197,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000608",="6/19/2014 2:58:48.618022 PM",
,198,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000895",="6/19/2014 2:58:48.618917 PM",
,199,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000601",="6/19/2014 2:58:48.619518 PM",
,200,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000903",="6/19/2014 2:58:48.620421 PM",
,201,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000614",="6/19/2014 2:58:48.621035 PM",
,202,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.001033",="6/19/2014 2:58:48.622068 PM",
,203,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000613",="6/19/2014 2:58:48.622681 PM",
,204,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000898",="6/19/2014 2:58:48.623579 PM",
,205,Command,0xfc4c,,,,,,,,,,,,,208,=" 00:00:00.000627",="6/19/2014 2:58:48.624206 PM",
,206,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000916",="6/19/2014 2:58:48.625122 PM",
,207,Command,0xfc4c,,,,,,,,,,,,,60,=" 00:00:00.000617",="6/19/2014 2:58:48.625739 PM",
,208,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000671",="6/19/2014 2:58:48.626410 PM",
,209,Command,0xfc4c,,,,,,,,,,,,,12,=" 00:00:00.000622",="6/19/2014 2:58:48.627032 PM",
,210,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000655",="6/19/2014 2:58:48.627687 PM",
,211,Command,0xfc4c,,,,,,,,,,,,,10,=" 00:00:00.000608",="6/19/2014 2:58:48.628295 PM",
,212,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000638",="6/19/2014 2:58:48.628933 PM",
,213,Command,0xfc4c,,,,,,,,,,,,,28,=" 00:00:00.000612",="6/19/2014 2:58:48.629545 PM",
,214,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000658",="6/19/2014 2:58:48.630203 PM",
,215,Command,0xfc4c,,,,,,,,,,,,,9,=" 00:00:00.000609",="6/19/2014 2:58:48.630812 PM",
,216,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000711",="6/19/2014 2:58:48.631523 PM",
,217,Command,0xfc4c,,,,,,,,,,,,,12,=" 00:00:00.000609",="6/19/2014 2:58:48.632132 PM",
,218,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000637",="6/19/2014 2:58:48.632769 PM",
,219,Command,0xfc4c,,,,,,,,,,,,,9,=" 00:00:00.000606",="6/19/2014 2:58:48.633375 PM",
,220,Event,0xfc4c,,Command Complete,,,,,,,,,,4,7,=" 00:00:00.000664",="6/19/2014 2:58:48.634039 PM",
