Bookmark,Frame#,Role,Addr.,ctype,Response,Error code,OpCode,Operation ID,State_flag,PDU ID,Pkt type,Cap Id,Frame Size,Delta,Timestamp,
,12731,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.006877",="6/25/2014 11:17:15.758245 AM",
,38272,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,86,=" 00:01:02.542123",="6/25/2014 11:18:18.300368 AM",
,38273,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,91,=" 00:00:00.024377",="6/25/2014 11:18:18.324745 AM",
,38304,CT,1,CONTROL,,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:00:08.730658",="6/25/2014 11:18:27.055403 AM",
,38305,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:00:00.021877",="6/25/2014 11:18:27.077280 AM",
,38306,CT,1,CONTROL,,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.005623",="6/25/2014 11:18:27.082903 AM",
,38307,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.006877",="6/25/2014 11:18:27.089780 AM",
,39500,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Capabilities,Non-Fragmented,Events Supported,30,=" 00:00:19.685700",="6/25/2014 11:18:46.775480 AM",
,39501,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Capabilities,Non-Fragmented,Events Supported,35,=" 00:00:00.001877",="6/25/2014 11:18:46.777357 AM",
,39504,CT,1,CONTROL,,,VENDOR-DEPENDENT,,,Inform Displayable Character Set,Non-Fragmented,,32,=" 00:00:00.029373",="6/25/2014 11:18:46.806730 AM",
,39506,TG,1,,ACCEPTED,,VENDOR-DEPENDENT,,,Inform Displayable Character Set,Non-Fragmented,,29,=" 00:00:00.003127",="6/25/2014 11:18:46.809857 AM",
,39507,CT,1,NOTIFY,,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,34,=" 00:00:00.005623",="6/25/2014 11:18:46.815480 AM",
,39508,TG,1,,INTERIM,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,31,=" 00:00:00.006877",="6/25/2014 11:18:46.822357 AM",
,39509,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,66,=" 00:00:00.024373",="6/25/2014 11:18:46.846730 AM",
,39510,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,90,=" 00:00:00.021877",="6/25/2014 11:18:46.868607 AM",
,39511,CT,1,NOTIFY,,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,34,=" 00:00:00.010623",="6/25/2014 11:18:46.879230 AM",
,39512,TG,1,,INTERIM,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,38,=" 00:00:00.011877",="6/25/2014 11:18:46.891107 AM",
,39513,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,66,=" 00:00:00.034374",="6/25/2014 11:18:46.925481 AM",
,39514,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,90,=" 00:00:00.021877",="6/25/2014 11:18:46.947358 AM",
,39515,CT,1,NOTIFY,,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,34,=" 00:00:00.005623",="6/25/2014 11:18:46.952981 AM",
,39516,TG,1,,INTERIM,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,34,=" 00:00:00.006877",="6/25/2014 11:18:46.959858 AM",
,39517,CT,1,STATUS,,,VENDOR-DEPENDENT,,,List Player Application Setting Attributes,Non-Fragmented,,29,=" 00:00:00.024373",="6/25/2014 11:18:46.984231 AM",
,39518,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,List Player Application Setting Attributes,Non-Fragmented,,32,=" 00:00:00.020627",="6/25/2014 11:18:47.004858 AM",
,39519,CT,1,STATUS,,,VENDOR-DEPENDENT,,,List Player Application Setting Value,Non-Fragmented,,30,=" 00:00:00.016873",="6/25/2014 11:18:47.021731 AM",
,39520,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,List Player Application Setting Value,Non-Fragmented,,33,=" 00:00:00.011877",="6/25/2014 11:18:47.033608 AM",
,39521,CT,1,STATUS,,,VENDOR-DEPENDENT,,,List Player Application Setting Value,Non-Fragmented,,30,=" 00:00:00.016873",="6/25/2014 11:18:47.050481 AM",
,39522,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,List Player Application Setting Value,Non-Fragmented,,32,=" 00:00:00.011877",="6/25/2014 11:18:47.062358 AM",
,39523,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Current Player Application Setting Value,Non-Fragmented,,32,=" 00:00:00.018123",="6/25/2014 11:18:47.080481 AM",
,39524,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Current Player Application Setting Value,Non-Fragmented,,34,=" 00:00:00.011877",="6/25/2014 11:18:47.092358 AM",
,39525,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Player Application Setting Value Text,Non-Fragmented,,35,=" 00:00:00.018123",="6/25/2014 11:18:47.110481 AM",
,39526,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Player Application Setting Value Text,Non-Fragmented,,88,=" 00:00:00.011877",="6/25/2014 11:18:47.122358 AM",
,39527,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Player Application Setting Value Text,Non-Fragmented,,34,=" 00:00:00.020624",="6/25/2014 11:18:47.142982 AM",
,39528,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Player Application Setting Value Text,Non-Fragmented,,69,=" 00:00:00.020627",="6/25/2014 11:18:47.163609 AM",
,39529,CT,1,NOTIFY,,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,34,=" 00:00:00.026873",="6/25/2014 11:18:47.190482 AM",
,39530,TG,1,,INTERIM,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,35,=" 00:00:00.021877",="6/25/2014 11:18:47.212359 AM",
,39533,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,66,=" 00:00:04.824392",="6/25/2014 11:18:52.036751 AM",
